operation	small_base_ms	small_mlx_ms	medium_base_ms	medium_mlx_ms	large_base_ms	large_mlx_ms
Matrix multiply	39.7726	0.3979	312.7368	1.2516	2452.4510	7.4615
Matrix addition	0.1570	0.2631	0.7653	0.4887	2.8668	1.2342
Subset rows (vector)	0.3112	0.3093	1.2982	0.4653	5.4931	1.9569
Subset (matrix index)	0.0029	0.3234	0.0056	0.4537	0.0099	1.0546
Sum	0.3531	0.2086	1.4150	0.2365	5.6494	0.4012
Mean	0.4246	0.2164	1.6946	0.2474	6.7866	0.3985
Row sums	0.0399	0.2256	0.1455	0.2473	0.5838	0.4198
Row means	0.0399	0.2293	0.1456	0.2489	0.5815	0.4227
tcrossprod	20.9007	0.3950	158.8634	1.1735	1293.0538	6.5599
scale()	5.7649	0.4805	25.7218	1.0027	96.9112	3.0527
Solve Ax = b	15.7262	2.0861	113.9033	9.9923	864.0312	53.4198
Backsolve	0.0555	0.7962	0.1951	4.2850	0.8373	17.2754
Cholesky	15.9593	0.2366	154.3237	1.1105	1382.2382	6.2499
chol2inv	15.3348	0.5635	113.5247	3.4128	863.9046	24.6785
SVD (values only)	93.0498	9.3471	727.2954	43.3530	5712.3143	257.0317
Diagonal	0.0061	0.0425	0.0096	0.0471	0.0155	0.0658
